group_id,student_id,joined_at
1,1,2027-09-01T09:00:00Z
1,2,2027-09-01T09:00:00Z
1,3,2027-09-01T09:00:00Z
1,4,2027-09-01T09:00:00Z
1,5,2027-09-01T09:00:00Z
1,6,2027-09-01T09:00:00Z
1,7,2027-09-01T09:00:00Z
1,8,2027-09-01T09:00:00Z
2,9,2027-09-01T09:00:00Z
2,10,2027-09-01T09:00:00Z
2,11,2027-09-01T09:00:00Z
2,12,2027-09-01T09:00:00Z
2,13,2027-09-01T09:00:00Z
2,14,2027-09-01T09:00:00Z
2,15,2027-09-01T09:00:00Z
2,16,2027-09-01T09:00:00Z
3,17,2027-09-01T09:00:00Z
3,18,2027-09-01T09:00:00Z
3,19,2027-09-01T09:00:00Z
3,20,2027-09-01T09:00:00Z
3,21,2027-09-01T09:00:00Z
3,22,2027-09-01T09:00:00Z
3,23,2027-09-01T09:00:00Z
3,24,2027-09-01T09:00:00Z
4,25,2027-09-01T09:00:00Z
4,26,2027-09-01T09:00:00Z
4,27,2027-09-01T09:00:00Z
4,28,2027-09-01T09:00:00Z
4,29,2027-09-01T09:00:00Z
4,30,2027-09-01T09:00:00Z
4,31,2027-09-01T09:00:00Z
4,32,2027-09-01T09:00:00Z
