id,term_id,department_id,name,student_count
1,1,1,AI301-S1-G1,19
2,1,1,AI301-S1-G2,19
3,1,1,AI301-S2-G1,20
4,1,1,AI301-S2-G2,20
5,1,1,AI301-S3-G1,18
6,1,1,AI301-S3-G2,18
7,1,1,AI301-S4-G1,19
8,1,1,AI301-S4-G2,19
9,1,1,AI301-S5-G1,20
10,1,1,AI301-S5-G2,20
11,1,1,AI302-S1-G1,18
12,1,1,AI302-S1-G2,18
13,1,1,AI302-S2-G1,19
14,1,1,AI302-S2-G2,19
15,1,1,AI302-S3-G1,20
16,1,1,AI302-S3-G2,20
17,1,1,AI302-S4-G1,18
18,1,1,AI302-S4-G2,18
19,1,1,AI302-S5-G1,19
20,1,1,AI302-S5-G2,19
21,1,1,AI303-S1-G1,20
22,1,1,AI303-S1-G2,20
23,1,1,AI303-S2-G1,18
24,1,1,AI303-S2-G2,18
25,1,1,AI303-S3-G1,19
26,1,1,AI303-S3-G2,19
27,1,1,AI303-S4-G1,20
28,1,1,AI303-S4-G2,20
29,1,1,AI303-S5-G1,18
30,1,1,AI303-S5-G2,18
31,1,1,AI304-S1-G1,19
32,1,1,AI304-S1-G2,19
33,1,1,AI304-S2-G1,20
34,1,1,AI304-S2-G2,20
35,1,1,AI304-S3-G1,18
36,1,1,AI304-S3-G2,18
37,1,1,AI304-S4-G1,19
38,1,1,AI304-S4-G2,19
39,1,1,AI304-S5-G1,20
40,1,1,AI304-S5-G2,20
41,1,1,AI305-S1-G1,18
42,1,1,AI305-S1-G2,18
43,1,1,AI305-S2-G1,19
44,1,1,AI305-S2-G2,19
45,1,1,AI305-S3-G1,20
46,1,1,AI305-S3-G2,20
47,1,1,AI305-S4-G1,18
48,1,1,AI305-S4-G2,18
49,1,1,AI305-S5-G1,19
50,1,1,AI305-S5-G2,19
