submission_id,term_id,slot_id,kind
1,1,1,AVAILABLE
1,1,2,AVAILABLE
1,1,3,AVAILABLE
1,1,4,AVAILABLE
1,1,5,PREFERRED
1,1,6,AVAILABLE
1,1,7,AVAILABLE
1,1,8,AVAILABLE
1,1,9,UNAVAILABLE
1,1,10,AVAILABLE
1,1,11,AVAILABLE
1,1,12,AVAILABLE
1,1,13,AVAILABLE
1,1,14,AVAILABLE
1,1,15,AVAILABLE
1,1,16,AVAILABLE
1,1,17,AVAILABLE
1,1,18,AVAILABLE
1,1,19,AVAILABLE
1,1,20,AVAILABLE
2,1,1,AVAILABLE
2,1,2,AVAILABLE
2,1,3,AVAILABLE
2,1,4,AVAILABLE
2,1,5,AVAILABLE
2,1,6,AVAILABLE
2,1,7,AVAILABLE
2,1,8,AVAILABLE
2,1,9,AVAILABLE
2,1,10,AVAILABLE
2,1,11,AVAILABLE
2,1,12,AVAILABLE
2,1,13,AVAILABLE
2,1,14,AVAILABLE
2,1,15,AVAILABLE
2,1,16,AVAILABLE
2,1,17,AVAILABLE
2,1,18,AVAILABLE
2,1,19,AVAILABLE
2,1,20,AVAILABLE
3,1,1,AVAILABLE
3,1,2,AVAILABLE
3,1,3,AVAILABLE
3,1,4,AVAILABLE
3,1,5,AVAILABLE
3,1,6,AVAILABLE
3,1,7,AVAILABLE
3,1,8,AVAILABLE
3,1,9,AVAILABLE
3,1,10,AVAILABLE
3,1,11,AVAILABLE
3,1,12,AVAILABLE
3,1,13,AVAILABLE
3,1,14,AVAILABLE
3,1,15,AVAILABLE
3,1,16,AVAILABLE
3,1,17,AVAILABLE
3,1,18,AVAILABLE
3,1,19,AVAILABLE
3,1,20,AVAILABLE
4,1,1,AVAILABLE
4,1,2,AVAILABLE
4,1,3,AVAILABLE
4,1,4,AVAILABLE
4,1,5,AVAILABLE
4,1,6,AVAILABLE
4,1,7,AVAILABLE
4,1,8,AVAILABLE
4,1,9,AVAILABLE
4,1,10,AVAILABLE
4,1,11,AVAILABLE
4,1,12,AVAILABLE
4,1,13,AVAILABLE
4,1,14,AVAILABLE
4,1,15,AVAILABLE
4,1,16,AVAILABLE
4,1,17,AVAILABLE
4,1,18,AVAILABLE
4,1,19,AVAILABLE
4,1,20,AVAILABLE
5,1,1,AVAILABLE
5,1,2,AVAILABLE
5,1,3,AVAILABLE
5,1,4,AVAILABLE
5,1,5,AVAILABLE
5,1,6,AVAILABLE
5,1,7,AVAILABLE
5,1,8,AVAILABLE
5,1,9,AVAILABLE
5,1,10,AVAILABLE
5,1,11,AVAILABLE
5,1,12,AVAILABLE
5,1,13,AVAILABLE
5,1,14,AVAILABLE
5,1,15,AVAILABLE
5,1,16,AVAILABLE
5,1,17,AVAILABLE
5,1,18,AVAILABLE
5,1,19,AVAILABLE
