id,term_id,course_id,code,status,created_by
1,1,1,AI301-S1,ACTIVE,2
2,1,1,AI301-S2,ACTIVE,2
3,1,1,AI301-S3,ACTIVE,2
4,1,1,AI301-S4,ACTIVE,2
5,1,1,AI301-S5,ACTIVE,2
6,1,2,AI302-S1,ACTIVE,2
7,1,2,AI302-S2,ACTIVE,2
8,1,2,AI302-S3,ACTIVE,2
9,1,2,AI302-S4,ACTIVE,2
10,1,2,AI302-S5,ACTIVE,2
11,1,3,AI303-S1,ACTIVE,2
12,1,3,AI303-S2,ACTIVE,2
13,1,3,AI303-S3,ACTIVE,2
14,1,3,AI303-S4,ACTIVE,2
15,1,3,AI303-S5,ACTIVE,2
16,1,4,AI304-S1,ACTIVE,2
17,1,4,AI304-S2,ACTIVE,2
18,1,4,AI304-S3,ACTIVE,2
19,1,4,AI304-S4,ACTIVE,2
20,1,4,AI304-S5,ACTIVE,2
21,1,5,AI305-S1,ACTIVE,2
22,1,5,AI305-S2,ACTIVE,2
23,1,5,AI305-S3,ACTIVE,2
24,1,5,AI305-S4,ACTIVE,2
25,1,5,AI305-S5,ACTIVE,2
